sep=,
DeviceTag:,Xsens DOT0
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-03-18_10:35:04_994 CET
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,1317043209,0.105890,0.154705,-0.041730,0.565711,0.450996,0.025288,0.103897,0.757372,0.544115,0.345733,
2,1317059876,4.679217,4.776803,-7.748143,11.588752,24.389263,-54.548519,0.097972,0.754621,0.549230,0.345392,
3,1317076543,5.102193,4.998655,-7.957375,19.998276,22.015705,-59.069443,0.090044,0.752164,0.554479,0.344522,
4,1317093210,5.262072,5.198302,-8.086937,24.493076,20.237770,-62.618050,0.082567,0.749025,0.559892,0.344479,
5,1317109877,5.447303,5.361637,-8.089081,24.067404,19.180105,-64.933372,0.076469,0.744477,0.566375,0.345146,
6,1317126544,5.266047,5.380064,-8.018449,18.998558,18.538416,-66.296822,0.072235,0.739170,0.572892,0.346705,
7,1317143211,5.386934,5.348016,-8.028192,14.408158,17.678265,-66.926903,0.069207,0.732614,0.580502,0.348575,
8,1317159878,5.278348,5.236786,-7.994233,11.132964,16.270218,-67.329117,0.067391,0.726201,0.587623,0.350415,
9,1317176545,5.161873,5.053515,-7.984725,6.702415,14.726728,-68.049507,0.066420,0.719448,0.594920,0.352212,
10,1317193212,5.326653,4.846028,-7.991933,3.120187,12.539078,-69.281448,0.066435,0.712954,0.601820,0.353689,
11,1317209879,5.384173,4.713863,-7.941473,-0.237255,9.668130,-71.074623,0.067363,0.706930,0.608113,0.354838,
12,1317226546,5.556009,4.603707,-7.946837,-2.762074,6.625817,-72.814064,0.068629,0.700587,0.614754,0.355733,
13,1317243213,5.763470,4.456617,-7.871628,-4.329310,3.626656,-74.409012,0.070258,0.694248,0.621378,0.356333,
14,1317259880,5.877490,4.351121,-7.770922,-3.719372,0.234265,-75.645996,0.072015,0.687981,0.628029,0.356477,
15,1317276547,5.873173,4.307325,-7.618432,-2.357083,-2.852250,-76.133118,0.073782,0.681830,0.634671,0.356170,
16,1317293214,5.821433,4.354117,-7.461534,-2.839635,-5.043011,-75.362198,0.075659,0.675824,0.641102,0.355706,
17,1317309881,5.548789,4.231435,-7.281225,-7.536146,-6.022905,-73.795723,0.077977,0.669907,0.647052,0.355624,
18,1317326548,5.325887,4.137386,-7.048402,-12.974750,-6.395122,-71.078262,0.080741,0.664147,0.652403,0.356034,
19,1317343215,4.993556,3.985647,-6.811351,-17.030186,-6.933219,-67.294876,0.083805,0.658670,0.657137,0.356794,
20,1317359882,4.615768,3.802904,-6.675237,-19.472700,-7.267152,-62.863258,0.086985,0.653551,0.661296,0.357760,
21,1317376549,4.385448,3.723999,-6.581367,-21.351213,-6.921207,-57.423634,0.090125,0.648866,0.664849,0.358924,
22,1317393216,4.173390,3.694810,-6.610042,-25.620745,-5.236565,-51.029930,0.093271,0.644616,0.667608,0.360653,
23,1317409883,3.914658,3.627267,-6.585245,-32.146820,-2.311404,-43.571983,0.096457,0.640817,0.669381,0.363290,
24,1317426550,3.636812,3.538436,-6.708851,-36.496544,1.276715,-34.909351,0.099347,0.637582,0.670189,0.366695,
25,1317443217,3.567995,3.290634,-6.729591,-33.025055,4.206176,-26.114307,0.101266,0.635081,0.670443,0.370031,
26,1317459884,3.444951,3.313376,-6.812498,-23.645538,6.518612,-17.682499,0.101716,0.633413,0.670496,0.372663,
27,1317476551,3.408210,3.430197,-6.877652,-14.820833,8.890263,-8.868844,0.100722,0.632602,0.670295,0.374666,
28,1317493218,3.461436,3.602832,-6.983677,-8.633754,11.753158,0.009726,0.098476,0.632583,0.669697,0.376361,
29,1317509885,3.600767,3.765434,-7.101732,-4.286431,14.567464,8.728607,0.095158,0.633307,0.668606,0.377932,
30,1317526552,3.623988,3.909772,-7.284128,-3.280891,17.289091,17.175547,0.091093,0.634697,0.666848,0.379705,
31,1317543219,3.860662,4.055934,-7.427473,-4.484224,19.529339,25.125952,0.086559,0.636692,0.664328,0.381836,
32,1317559886,3.862266,4.130156,-7.475539,-3.760911,20.245682,32.464287,0.081550,0.639334,0.661172,0.383996,
33,1317576553,3.833117,4.322949,-7.618385,-2.642518,19.233488,38.916950,0.076246,0.642628,0.657453,0.385969,
34,1317593220,3.509899,4.529997,-7.709117,-0.778684,16.552666,44.590034,0.070787,0.646586,0.653261,0.387513,
35,1317609887,3.330723,4.826703,-7.872307,0.208342,12.517687,49.174030,0.065461,0.651156,0.648638,0.388560,
36,1317626554,3.241570,5.404739,-8.141038,-1.589002,7.946927,53.215057,0.060622,0.656281,0.643475,0.389308,
37,1317643221,3.109517,6.003981,-8.429962,-5.415471,3.829815,56.936069,0.056455,0.661873,0.637690,0.389984,
38,1317659888,2.473259,6.441700,-8.830095,-8.665222,0.602835,60.036674,0.052872,0.667820,0.631384,0.390609,
39,1317676555,1.578695,6.695787,-9.254517,-10.550564,-1.260149,61.048969,0.049755,0.673856,0.624855,0.391151,
40,1317693222,0.682473,6.887216,-9.568595,-8.592337,-2.862716,59.196095,0.046887,0.679735,0.618623,0.391240,
41,1317709889,0.102206,7.234135,-9.667358,-0.316103,-5.970205,54.593945,0.043947,0.685346,0.613325,0.390131,
42,1317726556,-0.044796,7.872517,-9.787324,10.118664,-11.323131,48.016529,0.041027,0.690658,0.609279,0.387411,
43,1317743223,-0.272987,8.618865,-9.970775,13.519595,-18.060953,39.928673,0.039029,0.695573,0.606235,0.383581,
44,1317759890,-0.556339,9.262161,-10.076730,8.146874,-26.315519,29.360470,0.039107,0.699906,0.603955,0.379263,
45,1317776557,-0.738553,9.840507,-10.360562,-7.210014,-35.471222,15.741095,0.042518,0.703377,0.602206,0.375235,
46,1317793224,-1.020307,10.246113,-10.745830,-24.074247,-44.773590,-0.411843,0.049557,0.705738,0.601168,0.371584,
47,1317809891,-1.377430,10.574912,-11.380384,-32.569263,-53.263309,-18.113966,0.059357,0.706826,0.601442,0.367617,
48,1317826558,-1.635959,11.041543,-12.005645,-25.019030,-60.511906,-36.257080,0.070154,0.706629,0.603912,0.362001,
49,1317843225,-1.720191,11.588249,-12.325517,0.659781,-67.429230,-54.354366,0.080019,0.705295,0.609476,0.353122,
50,1317859892,-1.229993,12.375043,-12.368153,31.532467,-73.840744,-72.589394,0.088343,0.702816,0.618309,0.340500,
51,1317876559,-0.399832,13.051020,-12.059177,49.633995,-80.033356,-92.112106,0.096429,0.698831,0.629740,0.325214,
52,1317893226,0.557576,13.405206,-11.466902,51.615967,-86.914825,-112.878654,0.105972,0.692924,0.642956,0.308600,
53,1317909893,1.302775,13.478006,-10.784437,43.878204,-94.799095,-134.539368,0.118003,0.684768,0.657448,0.291429,
54,1317926560,1.741870,13.186252,-10.404926,32.567375,-102.226669,-155.901138,0.132718,0.674140,0.672906,0.274078,
55,1317943227,1.886258,12.515763,-10.236618,28.222857,-107.553482,-175.648773,0.149047,0.661071,0.689344,0.256074,
56,1317959894,1.892140,11.720695,-10.084470,34.436817,-109.653610,-192.280533,0.165422,0.645839,0.706759,0.236686,
